band,service,category,kind,published,model,change,direction,DECISION,NOTE
1 minor (under $15),"Replace Standard Outlet","Outlets & Switches",standalone,250.00,260.00,+10.00,price rises,,
1 minor (under $15),"Replace Standard Switch","Outlets & Switches",standalone,250.00,260.00,+10.00,price rises,,
1 minor (under $15),"Professional TV Installation In New Location (Includes Outlet)","TV & Media",same-visit,375.00,365.00,-10.00,price falls,,
1 minor (under $15),"Occupancy / Motion Sensor Switch","Outlets & Switches",same-visit,155.00,140.00,-15.00,price falls,,
1 minor (under $15),"Replace 3-Way Switch","Outlets & Switches",standalone,250.00,265.00,+15.00,price rises,,
1 minor (under $15),"Install New Ceiling Light","Lighting",standalone,300.00,315.00,+15.00,price rises,,
1 minor (under $15),"Replace Existing Ceiling Fan With New Fan","Fans",standalone,300.00,315.00,+15.00,price rises,,
1 minor (under $15),"Garbage Disposal Electrical Disconnect / Reconnect","Appliance Installation",same-visit,140.00,125.00,-15.00,price falls,,
1 minor (under $15),"Replace Existing Smoke/CO Detector Combo","Safety & Protection",standalone,320.00,335.00,+15.00,price rises,,
1 minor (under $15),"Single-Pole Breaker Replacement","Panels & Troubleshooting",standalone,250.00,265.00,+15.00,price rises,,
2 moderate ($15-50),"Smart Outlet Upgrade","Outlets & Switches",standalone,355.00,335.00,-20.00,price falls,,
2 moderate ($15-50),"Smart Switch Upgrade","Outlets & Switches",standalone,310.00,330.00,+20.00,price rises,,
2 moderate ($15-50),"Timer Switch Installation","Outlets & Switches",standalone,355.00,335.00,-20.00,price falls,,
2 moderate ($15-50),"USB / USB-C Outlet Upgrade","Outlets & Switches",standalone,275.00,300.00,+25.00,price rises,,
2 moderate ($15-50),"Replacing Existing Light With New Fan","Fans",standalone,350.00,375.00,+25.00,price rises,,
2 moderate ($15-50),"Dishwasher Electrical Connection / Reconnection","Appliance Installation",same-visit,150.00,125.00,-25.00,price falls,,
2 moderate ($15-50),"Doorbell Transformer Replacement","Smart Home & Security",same-visit,185.00,210.00,+25.00,price rises,,
2 moderate ($15-50),"Double-Pole Breaker Replacement","Panels & Troubleshooting",standalone,255.00,280.00,+25.00,price rises,,
2 moderate ($15-50),"Customer-Supplied Smart Switch","Outlets & Switches",same-visit,100.00,130.00,+30.00,price rises,,
2 moderate ($15-50),"Replace GFCI Outlet","Outlets & Switches",standalone,250.00,280.00,+30.00,price rises,,
2 moderate ($15-50),"Replace LED Dimmer","Outlets & Switches",same-visit,160.00,130.00,-30.00,price falls,,
2 moderate ($15-50),"Replace Standard Switch","Outlets & Switches",same-visit,65.00,95.00,+30.00,price rises,,
2 moderate ($15-50),"Recessed Lighting Installation","Lighting",standalone,355.00,385.00,+30.00,price rises,,
2 moderate ($15-50),"Replace GFCI Outlet","Outlets & Switches",same-visit,150.00,115.00,-35.00,price falls,,
2 moderate ($15-50),"Replace LED Dimmer","Outlets & Switches",standalone,260.00,295.00,+35.00,price rises,,
2 moderate ($15-50),"Replace Standard Outlet","Outlets & Switches",same-visit,60.00,95.00,+35.00,price rises,,
2 moderate ($15-50),"Replace hardwired Smoke Detector","Safety & Protection",standalone,250.00,285.00,+35.00,price rises,,
2 moderate ($15-50),"Single-Pole Breaker Replacement","Panels & Troubleshooting",same-visit,105.00,140.00,+35.00,price rises,,
2 moderate ($15-50),"USB / USB-C Outlet Upgrade","Outlets & Switches",same-visit,175.00,135.00,-40.00,price falls,,
2 moderate ($15-50),"Replace hardwired Smoke Detector","Safety & Protection",same-visit,135.00,95.00,-40.00,price falls,,
2 moderate ($15-50),"Smart Outlet Upgrade","Outlets & Switches",same-visit,255.00,210.00,-45.00,price falls,,
